std1_r,std1_se,spl_r,spl_se,std2_r,std2_se
0.4116930,0.0000600,0.4117927,0.0000700,0.4116491,0.0000600
0.4116490,0.0000670,0.4117197,0.0000650,0.4116354,0.0000560
0.4093814,0.0000520,0.4095976,0.0000430,0.4096248,0.0000430
0.4094573,0.0000500,0.4095959,0.0000422,0.4095909,0.0000470
0.4096375,0.0000400,0.4096047,0.0000666,0.4093982,0.0000500
0.4096375,0.0000430,0.4095976,0.0000500,0.4094203,0.0000420
0.4096477,0.0000500,0.4096138,0.0000500,0.4094024,0.0000430
0.4095926,0.0000450,0.4098278,0.0000511,0.4098673,0.0000520
0.4097514,0.0000500,0.4098887,0.0000600,0.4098422,0.0000620
