std1_r,std1_se,spl_r,spl_se,std2_r,std2_se
0.4147459,0.0000400,0.4150000,0.0000460,0.4151136,0.0000520
0.4150507,0.0000490,0.4153579,0.0000540,0.4154780,0.0000570
0.4147262,0.0000400,0.4149632,0.0000400,0.4150870,0.0000510
0.4152453,0.0000630,0.4152652,0.0000560,0.4151174,0.0000400
0.4152389,0.0000500,0.4152862,0.0000560,0.4152095,0.0000485
0.4154443,0.0000520,0.4155219,0.0000550,0.4154205,0.0000500
0.4153153,0.0000520,0.4153956,0.0000470,0.4153135,0.0000550
0.4153135,0.0000550,0.4153410,0.0000560,0.4152410,0.0000470
0.4153143,0.0000300,0.4153799,0.0000370,0.4152410,0.0000410
